Transaction ID,MTCN,Sender Name,Receiver Name,PEP Related,Sender Currency,Receiver Currency,KYC Status,Transaction Type,Amount,Channel,Risk Rating,Timestamp,Sender Age,Sender Country,Receiver Country,Customer Address
TXN1000001,95822412.0,Patricia Smith, fatima rodriguez   ,No,GBP,BRL,KYC,Outer-transaction,3497.59,Agent Network,Low,2020-07-25 22:28,69,France,Brazil,"5241 Cedar Ln, Dubai"
TXN1000002,31429110.0,Elena Wilson,Richard Rodriguez,No,CAD,EUR,,outer-transaction,8048.06,ATM,Low,2026-01-07 16:31,32,Germany,South Africa,"2808 Main St, Toronto"
TXN1000003,20709497.0,Zayn Davis,Zayn Brown,No,SGD,ZAR,,EXTERNAL,1080.32,Web Portal,Medium,2020-06-13 06:29,78,Germany,Brazil,"3373 Pine Rd, London"
TXN1000004,17507864.0,Elizabeth Khan,Mary Silva,No,AED,EUR,Unverified,EXTERNAL,6888.19,Branch Counter,Medium,2025-06-21 13:43,38,India,UK,"8812 Main St, Toronto"
TXN1000005,28566572.0,  CHARLES THOMAS ,Robert Dubois,No,EUR,GBP,Unverified,INTERNAL,3778.7,Agent Network,Low,2025-09-15 16:31,41,Australia,France,"3651 Oak Ave, Dubai"
TXN1000006,45351479.0,Charles Dubois,Linda Taylor,0,ZAR,AED,Pending,Inter-transaction,8988.18,ATM,Low,2020-11-28 13:05,20,South Africa,UAE,"2932 Maple Dr, Sydney"
TXN1000007,75228535.0,Amir Williams,Jean-Pierre Moore,N,GBP,ZAR,Non-KYC,INTERNAL,11331.43,Web Portal,High,2021-02-06 18:23,39,South Africa,Germany,"252 Pine Rd, Mumbai"
TXN1000008,84346088.0,Elizabeth Jackson,Elizabeth Smith,No,ZAR,USD,,outer-transaction,3221.41,Web Portal,Critical,2021-02-17 05:26,70,UK,Brazil,"2900 Main St, Paris"
TXN1000009,17270733.0,Marta Nair,Sanjay Brown,No,BRL,CAD,Non-KYC,inter-transaction,6944.79,Mobile App,Critical,2020-02-14 17:23,19,UAE,UK,"2710 Maple Dr, New York"
TXN1000010,75181648.0,Sarah Miller,Zayn Gonzalez,0,gbp,AUD,,EXTERNAL,14931.39,Agent Network,Critical,2026-03-03 04:55,47,Australia,USA,"7461 Broadway, Paris"
TXN1000011,73993471.0,Charles Souza,Zayn Taylor,No,JPY,eur,Pending,Outer-transaction,8688.0,Mobile App,Low,2020-03-02 23:37,55,Brazil,Australia,"2014 View Rd, New York"
TXN1000012,27566185.0,Marta Nair,Barbara Anderson,No,EUR,USD,Verified,Outer-transaction,13999.56,Mobile App,Medium,2026-10-03 01:39,19,Brazil,India,"9298 Broadway, London"
TXN1000013,99639081.0,Amir Moore,Barbara Souza,No,GBP,AED,,inter-transaction,3061.92,Branch Counter,Critical,2022-05-17 14:14,81,South Africa,UK,"266 Cedar Ln, Dubai"
TXN1000014,31687165.0,Fatima Anderson,Karen Rostova,No,usd,EUR,Pending,INTERNAL,2229.93,Web Portal,Low,2024-01-31 10:21,77,Brazil,South Africa,"3764 Oak Ave, Toronto"
TXN1000015,57469942.0,Jean-Pierre Moore,Carlos Malik,No,CHF,BRL,Unverified,Inter-transaction,2698.62,Branch Counter,Critical,2020-01-19 21:23,38,India,Brazil,"780 Cedar Ln, New York"
TXN1000016,71780854.0,  SUSAN MARTINEZ ,Amir Silva,Y,INR,USD,Verified,EXTERNAL,7645.99,Agent Network,High,2020-12-30 00:17,50,Germany,South Africa,"5360 View Rd, Dubai"
TXN1000017,52101056.0,Jessica Martin,Charles Brown,No,CHF,inr,,EXTERNAL,11058.2,Web Portal,High,2026-10-11 11:11,75,Canada,Australia,"1463 Maple Dr, Mumbai"
TXN1000018,99508850.0,Jessica Hernandez,Joseph Rostova,No,GBP,INR,Verified,outer-transaction,8223.58,Mobile App,High,2023-02-14 10:27,39,France,Germany,"1638 Main St, Paris"
TXN1000019,32775593.0,Marta Williams,Barbara Taylor,No,CHF,CAD,Non-KYC,Inter-transaction,702.74,ATM,Low,2021-08-02 07:59,66,UK,France,"8852 Maple Dr, Paris"
TXN1000020,10744212.0,  CARLOS DUBOIS ,Zayn Dubois,Y,AUD,INR,KYC,outer-transaction,2008.75,ATM,High,2021-06-29 06:22,76,UAE,France,"2330 Main St, New York"
TXN1000021,73709724.0,Thomas Rodriguez,Jean-Pierre Davis,N,AED,JPY,Verified,inter-transaction,13396.47,Mobile App,Medium,2024-09-25 20:33,59,France,South Africa,"7206 Oak Ave, Paris"
TXN1000022,37760841.0,,Joseph Volkov,N,BRL,USD,Unverified,outer-transaction,8077.93,Agent Network,Medium,2026-06-30 10:21,77,UAE,UAE,"3271 Maple Dr, London"
TXN1000023,72732043.0,Priya Jones,Nancy Moore,No,AUD,CHF,KYC,inter-transaction,5692.77,Web Portal,Critical,2020-02-24 09:34,32,USA,Germany,"8660 Pine Rd, Toronto"
TXN1000024,82399599.0,  MARY LOPEZ ,Elizabeth Nair,No,ZAR,USD,Non-KYC,outer-transaction,10045.19,Agent Network,Medium,2022-02-16 19:28,79,France,France,"2007 Pine Rd, Dubai"
TXN1000025,51746937.0,Patricia Jackson,John Souza,No,ZAR,aud,KYC,EXTERNAL,11589.49,Agent Network,Low,2020-02-11 09:27,79,Canada,Germany,"1393 Oak Ave, Mumbai"
TXN1000026,24165187.0,Jessica Lopez,Sanjay Volkov,N,BRL,GBP,Pending,outer-transaction,6978.46,Agent Network,High,2023-08-13 17:13,64,South Africa,UK,"6971 Pine Rd, Mumbai"
TXN1000027,55150390.0,John Thomas,Zayn Hernandez,No,INR,CAD,KYC,INTERNAL,14221.46,Mobile App,Medium,2020-08-18 17:27,79,India,Germany,"4022 View Rd, New York"
TXN1000028,39742165.0,Joseph Rostova,Elizabeth Martinez,No,CAD,SGD,Unverified,inter-transaction,4606.28,Web Portal,Low,2021-03-28 23:07,68,Germany,Canada,"1092 Main St, Toronto"
TXN1000029,89133014.0,Jean-Pierre Taylor,Nancy Martinez,TRUE,INR,aed,KYC,INTERNAL,4389.13,Web Portal,Critical,2026-09-07 09:53,72,Germany,Australia,"2340 Cedar Ln, Toronto"
TXN1000030,25312516.0,Amir Williams,Joseph Thomas,No,zar,ZAR,KYC,INTERNAL,11469.01,Agent Network,Medium,2024-03-25 12:52,81,India,France,"489 Cedar Ln, Dubai"
TXN1000031,23318904.0,Jean-Pierre Miller,Sanjay Miller,No,EUR,GBP,Unverified,inter-transaction,499.27,Branch Counter,High,2023-10-13 07:03,20,Australia,Germany,"8950 Maple Dr, Toronto"
TXN1000032,25405014.0,Karen Davis,Sanjay Jones,0,gbp,EUR,Unverified,Inter-transaction,7035.78,Branch Counter,Critical,2024-01-07 03:04,68,USA,South Africa,"1581 Main St, Sydney"
TXN1000033,22257687.0,Elizabeth Velez,Amir Malik,No,USD,ZAR,Unverified,inter-transaction,2730.52,Agent Network,Critical,2023-02-25 00:48,24,UAE,USA,"7362 Maple Dr, Sydney"
TXN1000034,48683937.0,Marta Gonzalez,Amir Dubois,No,SGD,EUR,KYC,EXTERNAL,13041.82,ATM,Critical,2026-09-05 01:29,38,Canada,Canada,"9829 View Rd, Toronto"
TXN1000035,48658617.0,  THOMAS VOLKOV ,Elena Thomas,No,ZAR,CHF,Non-KYC,Inter-transaction,6927.1,Mobile App,Medium,2023-05-01 07:38,56,Brazil,Canada,"4508 Cedar Ln, Paris"
TXN1000036,61484043.0,William Souza,Nancy Taylor,Yes,GBP,EUR,KYC,inter-transaction,10893.5,Agent Network,Critical,2022-05-30 14:25,35,France,UAE,"3377 Broadway, Toronto"
TXN1000037,42051937.0,Christopher Gonzalez,Elizabeth Malik,N,USD,CAD,,Outer-transaction,7434.98,Mobile App,Medium,2020-03-25 04:33,21,USA,Germany,"8051 Broadway, Toronto"
TXN1000038,65026398.0,Zayn Nair,Michael Williams,No,AED,CAD,Pending,outer-transaction,14312.55,ATM,Low,2022-11-19 06:39,77,France,UAE,"4695 Maple Dr, New York"
TXN1000039,23489853.0,Thomas Garcia,Elena Martinez,0,USD,CAD,Pending,EXTERNAL,11889.87,Web Portal,Medium,2020-02-18 06:38,31,Canada,UAE,"212 Maple Dr, Dubai"
TXN1000040,71682508.0,David Velez,John Volkov,N,AED,ZAR,Unverified,EXTERNAL,3758.97,Branch Counter,Medium,2023-03-14 13:52,26,UK,USA,"239 Main St, Dubai"
TXN1000041,98346110.0,Joseph Rodriguez,John Jackson,Y,BRL,USD,Non-KYC,INTERNAL,12030.96,Web Portal,Medium,2020-03-09 17:37,70,UK,UK,"3268 Cedar Ln, New York"
